,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:35:76,1.0824432,-0.3154297,8.387146,0.2584839,-0.24456787,0.31370544,22.349548,-23.550415,-259.19952
11:05:35:77,1.175827,-0.17176819,8.468552,0.27552795,-0.23712158,0.2753601,,,
11:05:35:78,1.2045593,0.10595703,8.54277,0.32453918,-0.18811035,0.10810852,21.000671,-22.650146,-259.3506
11:05:35:79,1.0608978,0.11791992,8.521225,0.33198547,-0.15722656,0.044189453,,,
11:05:35:80,0.39530945,0.007797241,8.207581,0.32347107,-0.08265686,-0.07298279,21.000671,-23.849487,-257.85065
11:05:35:81,-0.10507202,-0.19570923,8.059143,0.24783325,0.045181274,-0.16246033,,,
11:05:35:82,-0.40434265,-0.43034363,8.030411,0.17539978,0.09738159,-0.16246033,21.600342,-22.50061,-259.19952
11:05:35:83,-0.44265747,-0.62905884,8.119003,0.10189819,0.117614746,-0.12944031,,,
11:05:35:84,-0.40673828,-0.8253937,8.308136,,,,,,
11:05:35:85,-0.3085785,-0.87327576,8.674454,-0.009963989,0.05583191,-0.047409058,21.749878,-22.650146,-259.64966
11:05:35:86,-0.16493225,-0.8182068,8.849228,-0.023803711,0.029205322,-0.03036499,,,
11:05:35:87,0.20378113,-0.77511597,9.277786,-0.055770874,-0.079452515,0.0015869141,20.84961,-24.749756,-258.7494
11:05:35:88,0.31629944,-0.76553345,9.481293,-0.07067871,-0.118881226,0.0037231445,20.84961,-22.050476,-259.19952
11:05:35:89,0.73768616,-0.94270325,10.019989,-0.095184326,-0.22007751,-0.006942749,,,
11:05:35:90,0.859787,-1.0001678,10.134918,-0.0973053,-0.2381897,-0.023986816,20.84961,-21.749878,-258.7494
11:05:35:91,0.8095093,-1.1653595,10.225891,-0.11329651,-0.25949097,-0.08470154,,,
11:05:35:92,0.55093384,-1.1150818,10.245041,-0.14738464,-0.25949097,-0.115600586,21.600342,-22.50061,-258.45032
11:05:35:93,0.2923584,-1.0815735,10.237869,-0.21235657,-0.2690735,-0.12625122,,,
11:05:35:94,0.12237549,-1.0815735,10.312088,-0.28799438,-0.2467041,-0.12197876,20.700073,-21.899414,-259.64966
11:05:35:95,0.026611328,-1.119873,10.489258,-0.32847595,-0.24137878,-0.111328125,,,
11:05:35:96,0.21334839,-1.3185883,10.716705,-0.43925476,-0.25309753,-0.052749634,20.550537,-22.050476,-259.19952
11:05:35:98,0.77838135,-1.230011,11.039917,-0.52874756,-0.24031067,-0.012268066,20.550537,-22.050476,-259.19952
11:05:35:99,0.9196472,-0.7391968,11.245819,-0.57455444,-0.25842285,-0.036758423,,,
11:05:36:00,0.9483795,-0.5644226,11.379898,,,,,,
11:05:36:01,1.1734314,-0.3872528,11.820435,-0.68533325,-0.35536194,-0.14968872,18.75,-22.349548,-257.0999
11:05:36:02,1.156662,-0.33218384,12.299271,-0.7492523,-0.38945007,-0.250885,20.700073,-20.84961,-258.59985
11:05:36:04,0.27320862,-0.57640076,13.259354,-0.8131714,-0.27653503,-0.38298035,20.249939,-21.600342,-259.05
11:05:36:05,-0.17929077,-0.8421478,13.505951,-0.8089142,-0.21154785,-0.3755188,,,
11:05:36:06,-0.44265747,-1.1079102,13.642426,-0.7407379,0.02067566,-0.2743225,19.94934,-20.84961,-258.59985
11:05:36:07,-0.3947754,-1.3832397,13.570587,-0.6917267,0.09631348,-0.21786499,,,
11:05:36:08,-0.08592224,-1.4622498,13.302444,-0.4648285,0.25610352,-0.017593384,17.700195,-20.399475,-259.05
11:05:36:09,0.34742737,-1.3353577,12.806839,-0.265625,0.31681824,0.11982727,,,
11:05:36:10,0.938797,-1.036087,11.961685,-0.06854248,0.35516357,0.23913574,19.500732,-19.34967,-259.05
11:05:36:11,1.2476501,-0.9115753,11.44693,0.018798828,0.3572998,0.28494263,,,
11:05:36:12,1.9395752,-0.6123047,10.039139,0.17112732,0.26249695,0.3350067,19.94934,-19.34967,-257.85065
11:05:36:13,2.171814,-0.4566803,9.648895,0.19030762,0.2081604,0.3254242,,,
11:05:36:14,2.626709,-0.1885376,8.849228,0.165802,0.092041016,0.2199707,20.84961,-18.75,-259.50012
11:05:36:15,2.6721954,-0.19093323,8.413483,0.11894226,0.066482544,0.10810852,,,
11:05:36:16,2.456726,-0.26515198,8.135757,0.05076599,0.06222534,-0.010131836,20.550537,-20.550537,-258.7494
11:05:36:17,2.2651825,-0.27711487,8.111816,0.017730713,0.06329346,-0.062332153,,,
